epoch,train/accuracy,valid/accuracy,train/loss,valid/loss,train/time_mean,train/time_std,valid/time_mean,valid/time_std
1,0.43312,0.5303,1.5433036683845887,1.2924071542752056,0.0034690721985965642,0.000612398199670854,0.002466861447973992,0.0002908145995426994
2,0.56324,0.5849,1.2218042523221793,1.145786206371868,0.003179430225578042,6.054487854692859e-05,0.002299381608958728,0.00018846871709367113
3,0.62522,0.651,1.0492649941168302,0.9780296554771094,0.0033387298237232067,0.0003288052258048058,0.002342620962701095,0.0003413866114982974
4,0.6721,0.6894,0.9236787475230827,0.8861251367738072,0.003303376466491077,0.00019648599093301125,0.002291081827312422,0.0001421624663982132
5,0.70532,0.7107,0.8398948944270878,0.8113943308877488,0.0034332845688655124,0.0005431154770053194,0.002469668766638389,0.00042258954402117654
6,0.72902,0.7243,0.7698466084511404,0.7862787286694438,0.0034173731526785356,0.0005515383006163789,0.0027308046956138966,0.0005456030082218259
7,0.74972,0.7314,0.7096098177683178,0.7638488898452479,0.0032019924763613933,0.0001227110358656082,0.002612051688664304,0.0005244779380609469
8,0.76996,0.7385,0.6580873038798514,0.75089541268044,0.0032504672477747564,0.00022481477070190268,0.002317042731212827,0.0003369511929128544
9,0.78212,0.7484,0.6234629359942404,0.7059359767566473,0.003210245163590479,0.0002687663488826159,0.002284583896725846,0.00010890881898740604
10,0.79564,0.7542,0.584538012809732,0.7250864161089206,0.003360496080013961,0.0005135380963274644,0.0022763800599014225,0.00020652950516089746
11,0.80554,0.757,0.5553893551697582,0.7160440541494387,0.0031843463842883965,9.754101031880686e-05,0.002257060625563605,6.452323278380714e-05
12,0.81778,0.756,0.5231910738152566,0.7030544854676761,0.0032099571011386103,0.00023212240995573795,0.0024037871371430995,0.0004355528487577343
13,0.82396,0.7632,0.49947083384866375,0.6884158808773699,0.0033385719512890183,0.000495797475444814,0.00248801607427339,0.0004905501024998054
14,0.83434,0.7666,0.47211420602777104,0.6881153076030195,0.003245594223808695,0.00033859880776003265,0.002254769830152202,6.224930981169054e-05
15,0.8439,0.7635,0.4474515974454901,0.7147170376187315,0.003217853781375712,0.00025216525215718765,0.0022128594886011684,5.7916416304274615e-05
16,0.8517,0.7739,0.42095650460330325,0.687686823713132,0.0035152587624325137,0.0006403765483893727,0.002555164733913522,0.000491405890750924
17,0.85778,0.7734,0.40507708564257666,0.6791604506417205,0.0031919991807572387,0.00012847001937037834,0.002227055669848483,4.3992455299108096e-05
18,0.86322,0.7626,0.38648276394727665,0.7170532511446042,0.003348458935497704,0.0004980787465918495,0.0023501212916935024,0.0003230041750223137
19,0.86948,0.7771,0.3705164846449957,0.689173007449403,0.0033060364684081678,0.000469600820527385,0.002247708886802292,6.477249926566011e-05
20,0.8764,0.7825,0.3515195311026282,0.6975984761414056,0.0032124169057941806,0.00024913641772086116,0.002419839976891018,0.00040967076806986986
21,0.87964,0.7776,0.3385289748147445,0.6874410084927806,0.0034010052924972178,0.0005641071532699379,0.002285429790538673,7.253424389626163e-05
22,0.88786,0.7689,0.31863595459965355,0.7393063647202409,0.0031807893638094494,0.00023556595256467135,0.002414724494244296,0.00039598579284284483
23,0.88944,0.7773,0.31105142459034996,0.7131463296401995,0.0033058884733261793,0.00047153091868117357,0.0022600551170055953,6.564401751440204e-05
24,0.8959,0.78,0.29461179109753816,0.7200887089910598,0.0033320728768383035,0.0004804519552594836,0.0024248191755050766,0.00043832636937535534
25,0.89954,0.7846,0.2796809551587909,0.698716566918757,0.0031796877329927165,3.576897550387752e-05,0.0023720737795134227,0.0003704729756108722
26,0.90606,0.7717,0.26758743575890326,0.7589971472660955,0.0033945386978468106,0.0005439175364299627,0.002736572231264255,0.0005576012724562411
27,0.90876,0.7775,0.2616706492018219,0.7414296741207568,0.0032100876312409735,0.0003325900305874198,0.002273991071699431,0.00026909156309027336
28,0.91332,0.7779,0.24650093373113804,0.7486107698835123,0.0035801410302043115,0.0006902248174651143,0.0022678746828458276,6.738782213175219e-05
29,0.91456,0.7795,0.24063550709238513,0.7446626177230201,0.0032581841441732965,0.00035402362550758813,0.0025357175231598816,0.00047496896811387605
30,0.91722,0.7825,0.23160060225096332,0.7396237211295972,0.0034114657844621175,0.0005530615301923447,0.0022741475606712098,0.00022743812475369885
31,0.95312,0.7999,0.14327112057973806,0.711894717388831,0.0031600847604350258,0.00010313731706595037,0.002259891407308392,0.0001909503234517014
32,0.96542,0.7991,0.10760086042817231,0.7402922714146943,0.0034556320400089885,0.0006171310427292513,0.0024207680576894515,0.00046740978684010025
33,0.97228,0.7953,0.08889646979939057,0.7787066139399815,0.0031552249622326858,5.4843212084966976e-05,0.002573027662313975,0.0005262948813139558
34,0.97606,0.7987,0.07724244606526841,0.8013765329179673,0.003378233829303451,0.0005508591419866306,0.0023706720103494846,0.0004002761828159642
35,0.9793,0.7972,0.0673230585051666,0.8285457443076962,0.003270415755904024,0.0003772849837497977,0.002709628073885418,0.0005464566424571601
36,0.98022,0.802,0.06340078679726757,0.8455466365995118,0.0031910336606790833,3.902981105793879e-05,0.0022178463683948635,6.667499534726757e-05
37,0.9839,0.7961,0.053723572757838726,0.8681951091645624,0.0033061355925912916,0.00045229724996980787,0.0026550490242509416,0.0005337735808161804
38,0.98444,0.7966,0.05120165913853787,0.894682267293953,0.0032492276653230323,0.00038360903622229744,0.002399450592762127,0.0004006459575916605
39,0.98588,0.7992,0.04671210871404007,0.9119826494790495,0.0033535900552860167,0.0005415971061973201,0.0024009690703318334,0.000391891705021637
40,0.98792,0.7976,0.04119344588526437,0.9326285671311826,0.0032200228322478474,0.00029146704737382286,0.002257765975956338,9.880486656499107e-05
41,0.98812,0.7959,0.039291221910035354,0.9628863330847158,0.003328845242749821,0.0004961431559922239,0.0023376258349004455,0.0003219603696768049
42,0.98972,0.796,0.03542329113387043,0.9725620955371628,0.0031589642332441347,0.0001388847818703758,0.002476593507781101,0.0004936202265049194
43,0.99048,0.7945,0.032640953025985,1.0088503396930024,0.0033775224052167005,0.0005379079564423895,0.0023443830540231148,0.0003118550427232285
44,0.9902,0.7956,0.03268915740996528,1.0056110337233772,0.0034998582067684303,0.0006453244039531168,0.0022603992139176724,0.0001530420585983797
45,0.99198,0.7957,0.02830670995581764,1.0365754019576139,0.0034838162341124723,0.0006458657361030869,0.0023090661073418947,0.00030754536025316985
46,0.99224,0.794,0.027399883742884556,1.0465090666620875,0.00321863078803029,0.0002733443064659654,0.002356902614366799,0.0003486820094552799
47,0.99276,0.7901,0.025612855812454847,1.0768237470057065,0.003401635258630757,0.0005697212641611433,0.0023241473678737496,0.0003152161565262875
48,0.99292,0.7916,0.02409525252419857,1.0881326031237364,0.0031880572098900188,8.105811810144403e-05,0.0024846523491362225,0.0004640169972107551
49,0.99302,0.7957,0.024002155727901694,1.0740408918347222,0.003307070085416552,0.0004530062436707649,0.0023359387715796405,0.000340945794635224
50,0.99272,0.7933,0.024506215535084017,1.1128445744704896,0.003228041118604351,0.000289245668412684,0.0025449010488478997,0.0005129950702367536
51,0.99366,0.7936,0.021470069617342255,1.1235645391499272,0.0032963713658443264,0.00042758741686209806,0.0022119708104838673,4.764780158716063e-05
52,0.99318,0.7941,0.02213780215551978,1.113712193486028,0.0031770394183397387,5.202365861477086e-05,0.0025805480497035262,0.0005353540906032541
53,0.9943,0.7929,0.020283105725366492,1.1358680137620567,0.003192033440378743,0.00020483826459883077,0.002529056050990241,0.0005063030911208599
54,0.99484,0.7941,0.01864408855284764,1.1522530513449598,0.0031778460260664166,0.00021690370693725215,0.002719974414573405,0.0005498270901473639
55,0.99428,0.791,0.019209928093633005,1.1599803616444524,0.003455935097618299,0.000616257955169619,0.002419180979880805,0.0004251052490427217
56,0.9947,0.794,0.018415960642048566,1.177347670824002,0.0031807971266184717,0.0002533094125301964,0.0022953512309232173,0.00029851985124777335
57,0.99526,0.7942,0.01689085104116623,1.1855441707248886,0.0031701722547295133,0.0001409444251946317,0.0022345253113157356,6.937895381732288e-05
58,0.99528,0.7926,0.016738387321261122,1.1818024208084843,0.0032044876173498516,0.00021903540251112916,0.002687714340093846,0.0005410482210217469
59,0.99534,0.7899,0.016580782544629927,1.2000643282462233,0.003301217368197933,0.00046479440304742566,0.002233075187020837,4.749755243180833e-05
60,0.99546,0.789,0.016896352918505175,1.2154745025851856,0.003238295233389571,0.00036762334700547343,0.002238796208613216,0.00012551106721575827
